"","IGFNS3_aligned.bam"
"ENSRNOG00000016812",0
"ENSRNOG00000009932",1
"ENSRNOG00000035046",0
"ENSRNOG00000071197",0
"ENSRNOG00000022353",0
"ENSRNOG00000026440",0
"ENSRNOG00000067997",1
"ENSRNOG00000067291",0
"ENSRNOG00000036807",0
"ENSRNOG00000020865",901
"ENSRNOG00000065706",1
"ENSRNOG00000058965",0
"ENSRNOG00000069287",0
"ENSRNOG00000020714",254
"ENSRNOG00000015825",593
"ENSRNOG00000062901",3
"ENSRNOG00000070787",0
"ENSRNOG00000058927",0
"ENSRNOG00000031086",1
"ENSRNOG00000057950",0
"ENSRNOG00000067561",0
"ENSRNOG00000017016",0
"ENSRNOG00000070889",0
"ENSRNOG00000064500",11
"ENSRNOG00000070820",0
"ENSRNOG00000014840",62
"ENSRNOG00000064970",23
"ENSRNOG00000058110",0
"ENSRNOG00000057480",0
"ENSRNOG00000059637",0
"ENSRNOG00000025060",23
"ENSRNOG00000063721",1
"ENSRNOG00000030127",167
"ENSRNOG00000069682",0
"ENSRNOG00000066099",81
"ENSRNOG00000027098",3
"ENSRNOG00000017138",0
"ENSRNOG00000058367",0
"ENSRNOG00000067414",0
"ENSRNOG00000017311",36
"ENSRNOG00000020131",0
"ENSRNOG00000066800",0
"ENSRNOG00000019270",162
"ENSRNOG00000066986",280
"ENSRNOG00000018762",119
"ENSRNOG00000057414",0
"ENSRNOG00000069528",24
"ENSRNOG00000067989",0
"ENSRNOG00000015956",182
"ENSRNOG00000018019",22
"ENSRNOG00000046036",366
"ENSRNOG00000051903",0
"ENSRNOG00000018541",0
"ENSRNOG00000070487",0
"ENSRNOG00000065449",3
"ENSRNOG00000015268",0
"ENSRNOG00000069855",0
"ENSRNOG00000065828",0
"ENSRNOG00000063461",3
"ENSRNOG00000064593",0
"ENSRNOG00000069644",0
"ENSRNOG00000064985",0
"ENSRNOG00000016372",1081
"ENSRNOG00000067872",0
"ENSRNOG00000057858",26
"ENSRNOG00000063677",0
"ENSRNOG00000064099",0
"ENSRNOG00000060031",1
"ENSRNOG00000017143",0
"ENSRNOG00000058913",0
"ENSRNOG00000055560",1
"ENSRNOG00000058451",0
"ENSRNOG00000065835",28
"ENSRNOG00000063775",0
"ENSRNOG00000049759",0
"ENSRNOG00000070824",0
"ENSRNOG00000064277",0
"ENSRNOG00000068327",550
"ENSRNOG00000019812",1620
"ENSRNOG00000013448",0
"ENSRNOG00000070842",17
"ENSRNOG00000050486",0
"ENSRNOG00000060311",1
"ENSRNOG00000064747",0
"ENSRNOG00000025940",3967
"ENSRNOG00000057115",0
"ENSRNOG00000059590",0
"ENSRNOG00000070257",22
"ENSRNOG00000053764",1
"ENSRNOG00000062436",0
"ENSRNOG00000062663",0
"ENSRNOG00000020393",2449
"ENSRNOG00000067076",31
"ENSRNOG00000060156",2
"ENSRNOG00000052300",1
"ENSRNOG00000063644",0
"ENSRNOG00000064992",0
"ENSRNOG00000066765",0
"ENSRNOG00000014969",1006
"ENSRNOG00000054315",0
"ENSRNOG00000053158",0
"ENSRNOG00000010840",1589
"ENSRNOG00000070884",8
"ENSRNOG00000068967",0
"ENSRNOG00000065947",0
"ENSRNOG00000042927",0
"ENSRNOG00000067278",1297
"ENSRNOG00000010308",4138
"ENSRNOG00000066280",0
"ENSRNOG00000064771",0
"ENSRNOG00000017277",105
"ENSRNOG00000046395",6
"ENSRNOG00000069063",0
"ENSRNOG00000061138",0
"ENSRNOG00000013426",384
"ENSRNOG00000017851",83
"ENSRNOG00000042465",1
"ENSRNOG00000062533",0
"ENSRNOG00000066205",3
"ENSRNOG00000068788",4
"ENSRNOG00000056942",3
"ENSRNOG00000065112",484
"ENSRNOG00000059323",0
"ENSRNOG00000068353",1
"ENSRNOG00000062431",0
"ENSRNOG00000065285",1
"ENSRNOG00000015058",0
"ENSRNOG00000061556",1
"ENSRNOG00000011439",334
"ENSRNOG00000017635",1910
"ENSRNOG00000056397",4
"ENSRNOG00000055386",0
"ENSRNOG00000038625",0
"ENSRNOG00000068081",259
"ENSRNOG00000065098",601
"ENSRNOG00000029394",109
"ENSRNOG00000065322",0
"ENSRNOG00000060079",0
"ENSRNOG00000017884",187
"ENSRNOG00000060321",0
"ENSRNOG00000067323",0
"ENSRNOG00000068609",0
"ENSRNOG00000069170",5
"ENSRNOG00000066570",0
"ENSRNOG00000064417",89
"ENSRNOG00000021082",8206
"ENSRNOG00000058132",0
"ENSRNOG00000053593",0
"ENSRNOG00000068507",0
"ENSRNOG00000063065",0
"ENSRNOG00000066269",103
"ENSRNOG00000020197",1199
"ENSRNOG00000069291",0
"ENSRNOG00000016687",2419
"ENSRNOG00000059273",0
"ENSRNOG00000059984",27
"ENSRNOG00000067834",0
"ENSRNOG00000053279",0
"ENSRNOG00000055124",1
"ENSRNOG00000022729",0
"ENSRNOG00000020363",2807
"ENSRNOG00000066299",2
"ENSRNOG00000056238",0
"ENSRNOG00000020871",3845
"ENSRNOG00000066283",2
"ENSRNOG00000033843",4672
"ENSRNOG00000029978",0
"ENSRNOG00000021151",325
"ENSRNOG00000053533",0
"ENSRNOG00000064808",0
"ENSRNOG00000017054",19
"ENSRNOG00000047429",0
"ENSRNOG00000018310",8
"ENSRNOG00000030404",46
"ENSRNOG00000052756",0
"ENSRNOG00000054533",12
"ENSRNOG00000069636",30
"ENSRNOG00000070724",0
"ENSRNOG00000021093",12
"ENSRNOG00000067564",558
"ENSRNOG00000069368",0
"ENSRNOG00000014004",466
"ENSRNOG00000047816",196
"ENSRNOG00000018433",275
"ENSRNOG00000032984",0
"ENSRNOG00000059173",0
"ENSRNOG00000063050",10
"ENSRNOG00000064276",0
"ENSRNOG00000055133",0
"ENSRNOG00000058564",0
"ENSRNOG00000055351",0
"ENSRNOG00000069212",0
"ENSRNOG00000063757",2
"ENSRNOG00000020925",1030
"ENSRNOG00000068292",3
"ENSRNOG00000014327",0
"ENSRNOG00000046339",0
"ENSRNOG00000025163",0
"ENSRNOG00000063321",0
"ENSRNOG00000066499",4
"ENSRNOG00000060653",0
"ENSRNOG00000064594",2
"ENSRNOG00000063410",0
"ENSRNOG00000070917",111
"ENSRNOG00000055259",67
"ENSRNOG00000071167",1
"ENSRNOG00000055350",0
"ENSRNOG00000056883",0
"ENSRNOG00000062807",0
"ENSRNOG00000064168",0
"ENSRNOG00000043313",0
"ENSRNOG00000054059",0
"ENSRNOG00000069104",0
"ENSRNOG00000059438",0
"ENSRNOG00000051968",0
"ENSRNOG00000067201",0
"ENSRNOG00000062620",0
"ENSRNOG00000063405",0
"ENSRNOG00000012140",527
"ENSRNOG00000067084",0
"ENSRNOG00000014828",1683
"ENSRNOG00000065933",1
"ENSRNOG00000069668",0
"ENSRNOG00000020497",640
"ENSRNOG00000070030",30
"ENSRNOG00000063751",0
"ENSRNOG00000028982",0
"ENSRNOG00000024630",1
"ENSRNOG00000025154",1076
"ENSRNOG00000014448",419
"ENSRNOG00000061255",0
"ENSRNOG00000058387",0
"ENSRNOG00000064171",0
"ENSRNOG00000071133",0
"ENSRNOG00000067993",0
"ENSRNOG00000057415",0
"ENSRNOG00000014266",0
"ENSRNOG00000055387",2
"ENSRNOG00000059739",0
"ENSRNOG00000066060",0
"ENSRNOG00000070360",0
"ENSRNOG00000067359",2
"ENSRNOG00000015753",1762
"ENSRNOG00000067461",10240
"ENSRNOG00000067992",0
"ENSRNOG00000052577",0
"ENSRNOG00000043392",0
"ENSRNOG00000053785",2
"ENSRNOG00000028781",0
"ENSRNOG00000053931",0
"ENSRNOG00000064547",0
"ENSRNOG00000070838",4
"ENSRNOG00000037156",1
"ENSRNOG00000046966",0
"ENSRNOG00000066001",0
"ENSRNOG00000056494",0
"ENSRNOG00000068067",0
"ENSRNOG00000054921",0
"ENSRNOG00000064885",30
"ENSRNOG00000054561",357
"ENSRNOG00000040387",0
"ENSRNOG00000052568",0
"ENSRNOG00000070839",8
"ENSRNOG00000065383",11
"ENSRNOG00000017351",0
"ENSRNOG00000070319",0
"ENSRNOG00000065720",0
"ENSRNOG00000011306",0
"ENSRNOG00000063169",19
"ENSRNOG00000069489",125
"ENSRNOG00000019491",297
"ENSRNOG00000051974",0
"ENSRNOG00000067353",0
"ENSRNOG00000019626",2
"ENSRNOG00000064994",67
"ENSRNOG00000031381",865
"ENSRNOG00000070650",0
"ENSRNOG00000021153",218
"ENSRNOG00000063499",0
"ENSRNOG00000068216",0
"ENSRNOG00000036246",0
"ENSRNOG00000055625",0
"ENSRNOG00000023081",0
"ENSRNOG00000065572",0
"ENSRNOG00000053871",0
"ENSRNOG00000037137",52
"ENSRNOG00000014380",234
"ENSRNOG00000031224",0
"ENSRNOG00000035472",0
"ENSRNOG00000061593",0
"ENSRNOG00000056864",1
"ENSRNOG00000065938",0
"ENSRNOG00000017150",233
"ENSRNOG00000069774",0
"ENSRNOG00000057453",0
"ENSRNOG00000070032",0
"ENSRNOG00000015168",2
"ENSRNOG00000063014",62
"ENSRNOG00000022308",0
"ENSRNOG00000069196",0
"ENSRNOG00000020517",27
"ENSRNOG00000062805",0
"ENSRNOG00000057697",1
"ENSRNOG00000040448",1
"ENSRNOG00000060169",0
"ENSRNOG00000015717",78
"ENSRNOG00000015914",1882
"ENSRNOG00000068371",0
"ENSRNOG00000019141",4
"ENSRNOG00000035477",0
"ENSRNOG00000070492",0
"ENSRNOG00000067799",179
"ENSRNOG00000065673",0
"ENSRNOG00000049297",0
"ENSRNOG00000062842",0
"ENSRNOG00000016964",0
"ENSRNOG00000062738",0
"ENSRNOG00000040350",0
"ENSRNOG00000019582",489
"ENSRNOG00000055924",0
"ENSRNOG00000060840",0
"ENSRNOG00000019440",0
"ENSRNOG00000053539",0
"ENSRNOG00000064213",0
"ENSRNOG00000065361",12
"ENSRNOG00000060727",0
"ENSRNOG00000051483",0
"ENSRNOG00000036711",1
"ENSRNOG00000013149",278
"ENSRNOG00000036588",13
"ENSRNOG00000016979",0
"ENSRNOG00000019660",0
"ENSRNOG00000069238",0
"ENSRNOG00000057399",0
"ENSRNOG00000059980",0
"ENSRNOG00000067431",26
"ENSRNOG00000018048",481
"ENSRNOG00000062528",0
"ENSRNOG00000066334",1
"ENSRNOG00000010224",349
"ENSRNOG00000035506",0
"ENSRNOG00000067877",0
"ENSRNOG00000061439",0
"ENSRNOG00000051496",1
"ENSRNOG00000048582",0
"ENSRNOG00000066659",0
"ENSRNOG00000063596",44
"ENSRNOG00000068107",0
"ENSRNOG00000064996",0
"ENSRNOG00000064379",0
"ENSRNOG00000029043",472
"ENSRNOG00000017095",277
"ENSRNOG00000063176",0
"ENSRNOG00000067938",3
"ENSRNOG00000068714",0
"ENSRNOG00000067440",0
"ENSRNOG00000065650",0
"ENSRNOG00000061383",0
"ENSRNOG00000069476",0
"ENSRNOG00000018421",92
"ENSRNOG00000063080",0
"ENSRNOG00000019681",132
"ENSRNOG00000068965",0
"ENSRNOG00000035601",0
"ENSRNOG00000054609",5
"ENSRNOG00000064548",8
"ENSRNOG00000065353",0
"ENSRNOG00000070419",3
"ENSRNOG00000020202",217
"ENSRNOG00000017613",1105
"ENSRNOG00000054831",0
"ENSRNOG00000064633",0
"ENSRNOG00000055519",55
"ENSRNOG00000065513",0
"ENSRNOG00000067923",0
"ENSRNOG00000066038",0
"ENSRNOG00000070260",0
"ENSRNOG00000011234",97
"ENSRNOG00000042706",0
"ENSRNOG00000059930",0
"ENSRNOG00000015997",171
"ENSRNOG00000066146",0
"ENSRNOG00000064983",70
"ENSRNOG00000015773",0
"ENSRNOG00000055020",79
"ENSRNOG00000062071",35
"ENSRNOG00000069729",7
"ENSRNOG00000068544",0
"ENSRNOG00000066969",123
"ENSRNOG00000069401",0
"ENSRNOG00000032990",0
"ENSRNOG00000063602",6
"ENSRNOG00000014251",1664
"ENSRNOG00000046649",0
"ENSRNOG00000066794",1063
"ENSRNOG00000017214",0
"ENSRNOG00000067780",0
"ENSRNOG00000025539",2458
"ENSRNOG00000066862",374
"ENSRNOG00000012716",596
"ENSRNOG00000066116",0
"ENSRNOG00000063182",46
"ENSRNOG00000050922",32
"ENSRNOG00000047479",0
"ENSRNOG00000069497",95
"ENSRNOG00000016011",3
"ENSRNOG00000020014",233
"ENSRNOG00000070094",0
"ENSRNOG00000055082",3805
"ENSRNOG00000068838",6
"ENSRNOG00000019129",18
"ENSRNOG00000017960",663
"ENSRNOG00000056062",22
"ENSRNOG00000070653",0
"ENSRNOG00000064289",0
"ENSRNOG00000046683",0
