"","LHNS1_aligned.bam"
"ENSRNOG00000070889",0
"ENSRNOG00000064500",19
"ENSRNOG00000070820",0
"ENSRNOG00000014840",9
"ENSRNOG00000064970",9
"ENSRNOG00000058110",0
"ENSRNOG00000057480",0
"ENSRNOG00000059637",0
"ENSRNOG00000025060",33
"ENSRNOG00000063721",0
"ENSRNOG00000030127",282
"ENSRNOG00000069682",0
"ENSRNOG00000066099",62
"ENSRNOG00000027098",2
"ENSRNOG00000017138",0
"ENSRNOG00000058367",0
"ENSRNOG00000067414",0
"ENSRNOG00000017311",27
"ENSRNOG00000020131",0
"ENSRNOG00000066800",0
"ENSRNOG00000019270",209
"ENSRNOG00000066986",186
"ENSRNOG00000018762",104
"ENSRNOG00000057414",0
"ENSRNOG00000069528",11
"ENSRNOG00000067989",0
"ENSRNOG00000015956",90
"ENSRNOG00000018019",6
"ENSRNOG00000046036",926
"ENSRNOG00000051903",0
"ENSRNOG00000018541",0
"ENSRNOG00000070487",0
"ENSRNOG00000065449",0
"ENSRNOG00000015268",0
"ENSRNOG00000069855",0
"ENSRNOG00000065828",0
"ENSRNOG00000063461",2
"ENSRNOG00000064593",0
"ENSRNOG00000069644",1
"ENSRNOG00000064985",0
"ENSRNOG00000016372",1297
"ENSRNOG00000067872",0
"ENSRNOG00000057858",44
"ENSRNOG00000063677",0
"ENSRNOG00000064099",0
"ENSRNOG00000060031",0
"ENSRNOG00000017143",0
"ENSRNOG00000058913",0
"ENSRNOG00000055560",5
"ENSRNOG00000058451",0
"ENSRNOG00000065835",38
"ENSRNOG00000063775",0
"ENSRNOG00000049759",0
"ENSRNOG00000070824",0
"ENSRNOG00000064277",0
"ENSRNOG00000068327",266
"ENSRNOG00000019812",1677
"ENSRNOG00000013448",1
"ENSRNOG00000070842",17
"ENSRNOG00000050486",0
"ENSRNOG00000060311",1
"ENSRNOG00000064747",0
"ENSRNOG00000025940",1775
"ENSRNOG00000057115",0
"ENSRNOG00000059590",0
"ENSRNOG00000070257",1
"ENSRNOG00000053764",0
"ENSRNOG00000062436",2
"ENSRNOG00000062663",0
"ENSRNOG00000020393",2165
"ENSRNOG00000067076",50
"ENSRNOG00000060156",1
"ENSRNOG00000052300",4
"ENSRNOG00000063644",0
"ENSRNOG00000064992",1
"ENSRNOG00000066765",0
"ENSRNOG00000014969",1408
"ENSRNOG00000054315",0
"ENSRNOG00000053158",0
"ENSRNOG00000010840",2463
"ENSRNOG00000070884",1
"ENSRNOG00000068967",0
"ENSRNOG00000065947",0
"ENSRNOG00000042927",0
"ENSRNOG00000067278",502
"ENSRNOG00000010308",4858
"ENSRNOG00000066280",0
"ENSRNOG00000064771",0
"ENSRNOG00000017277",89
"ENSRNOG00000046395",2
"ENSRNOG00000069063",0
"ENSRNOG00000061138",1
"ENSRNOG00000013426",386
"ENSRNOG00000017851",56
"ENSRNOG00000042465",1
"ENSRNOG00000062533",0
"ENSRNOG00000066205",2
"ENSRNOG00000068788",4
"ENSRNOG00000056942",3
"ENSRNOG00000065112",140
"ENSRNOG00000059323",2
"ENSRNOG00000068353",3
"ENSRNOG00000062431",0
"ENSRNOG00000065285",1
"ENSRNOG00000015058",1
"ENSRNOG00000061556",4
"ENSRNOG00000011439",272
"ENSRNOG00000017635",2611
"ENSRNOG00000056397",7
"ENSRNOG00000055386",0
"ENSRNOG00000038625",0
"ENSRNOG00000068081",204
"ENSRNOG00000065098",261
"ENSRNOG00000029394",400
"ENSRNOG00000065322",0
"ENSRNOG00000060079",0
"ENSRNOG00000017884",128
"ENSRNOG00000060321",0
"ENSRNOG00000067323",0
"ENSRNOG00000068609",0
"ENSRNOG00000069170",4
"ENSRNOG00000066570",0
"ENSRNOG00000064417",49
"ENSRNOG00000021082",6554
"ENSRNOG00000058132",0
"ENSRNOG00000053593",0
"ENSRNOG00000068507",0
"ENSRNOG00000063065",0
"ENSRNOG00000066269",51
"ENSRNOG00000020197",576
"ENSRNOG00000069291",0
"ENSRNOG00000016687",1621
"ENSRNOG00000059273",0
"ENSRNOG00000059984",20
"ENSRNOG00000067834",0
"ENSRNOG00000053279",0
"ENSRNOG00000055124",1
"ENSRNOG00000022729",0
"ENSRNOG00000020363",2238
"ENSRNOG00000066299",1
"ENSRNOG00000056238",0
"ENSRNOG00000020871",4327
"ENSRNOG00000066283",1
"ENSRNOG00000033843",5688
"ENSRNOG00000029978",0
"ENSRNOG00000021151",358
"ENSRNOG00000053533",2
"ENSRNOG00000064808",0
"ENSRNOG00000017054",25
"ENSRNOG00000047429",0
"ENSRNOG00000018310",8
"ENSRNOG00000030404",13
"ENSRNOG00000052756",0
"ENSRNOG00000054533",13
"ENSRNOG00000069636",4
"ENSRNOG00000070724",1
"ENSRNOG00000021093",8
"ENSRNOG00000067564",513
"ENSRNOG00000069368",1
"ENSRNOG00000014004",411
"ENSRNOG00000047816",155
"ENSRNOG00000018433",354
"ENSRNOG00000032984",0
"ENSRNOG00000059173",0
"ENSRNOG00000063050",7
"ENSRNOG00000064276",0
"ENSRNOG00000055133",0
"ENSRNOG00000058564",1
"ENSRNOG00000055351",0
"ENSRNOG00000069212",0
"ENSRNOG00000063757",3
"ENSRNOG00000020925",1167
"ENSRNOG00000068292",0
"ENSRNOG00000014327",0
"ENSRNOG00000046339",0
"ENSRNOG00000025163",0
"ENSRNOG00000063321",0
"ENSRNOG00000066499",5
"ENSRNOG00000060653",0
"ENSRNOG00000064594",2
"ENSRNOG00000063410",0
"ENSRNOG00000070917",35
"ENSRNOG00000055259",93
"ENSRNOG00000071167",1
"ENSRNOG00000055350",0
"ENSRNOG00000056883",0
"ENSRNOG00000062807",0
"ENSRNOG00000064168",0
"ENSRNOG00000043313",0
"ENSRNOG00000054059",0
"ENSRNOG00000069104",0
"ENSRNOG00000059438",0
"ENSRNOG00000051968",0
"ENSRNOG00000067201",0
"ENSRNOG00000062620",0
"ENSRNOG00000063405",0
"ENSRNOG00000012140",268
"ENSRNOG00000067084",0
"ENSRNOG00000014828",1658
"ENSRNOG00000065933",0
"ENSRNOG00000069668",0
"ENSRNOG00000020497",679
"ENSRNOG00000070030",24
"ENSRNOG00000063751",0
"ENSRNOG00000028982",0
"ENSRNOG00000024630",0
"ENSRNOG00000025154",998
"ENSRNOG00000014448",884
"ENSRNOG00000061255",0
"ENSRNOG00000058387",0
"ENSRNOG00000064171",0
"ENSRNOG00000071133",0
"ENSRNOG00000067993",0
"ENSRNOG00000057415",0
"ENSRNOG00000014266",0
"ENSRNOG00000055387",4
"ENSRNOG00000059739",0
"ENSRNOG00000066060",0
"ENSRNOG00000070360",0
"ENSRNOG00000067359",0
"ENSRNOG00000015753",1828
"ENSRNOG00000067461",8451
"ENSRNOG00000067992",0
"ENSRNOG00000052577",1
"ENSRNOG00000043392",0
