"","rat_gene_id","rat_gene_symbol","LHNS1","LHNS2","LHNS3","IGFNS1","IGFNS2","IGFNS3","PDGFNS1","PDGFNS2","PDGFNS3"
"28617","ENSRNOG00000018149","Smarca5",82,84,91,181,124,143,121,164,196
"28618","ENSRNOG00000013481","Cdh11",6011,4071,3589,8589,6151,7721,4310,8705,5806
"28619","ENSRNOG00000016234","Ciapin1",489,274,348,472,213,585,262,455,378
"28620","ENSRNOG00000016311","Slc6a2",1,0,1,4,3,5,1,2,2
"28621","ENSRNOG00000069573",NA,19,17,23,50,32,51,39,81,76
"28622","ENSRNOG00000066092",NA,2,1,2,3,5,6,4,7,5
"28623","ENSRNOG00000015519","LOC291863",0,1,0,0,0,0,0,0,0
"28624","ENSRNOG00000019819","Dus2",136,81,94,183,92,152,116,161,137
"28625","ENSRNOG00000015679","Dok4",152,73,90,140,68,141,89,117,113
"28626","ENSRNOG00000068016","LOC685989",18,3,6,36,15,28,18,30,28
"28627","ENSRNOG00000006551","Dcaf15",196,116,115,172,88,195,91,143,160
"28628","ENSRNOG00000049302","Chd9",914,749,831,1513,975,1381,992,1525,1265
"28629","ENSRNOG00000057998","LOC102554842",1,2,1,0,0,0,0,0,2
"28630","ENSRNOG00000057711","Cmtm1",0,0,0,1,0,0,0,0,1
"28631","ENSRNOG00000015720","Polr2c",829,387,499,659,339,741,383,696,566
"28632","ENSRNOG00000030174","AABR07042903.1",5224,3531,3738,7482,3774,5990,5260,8731,8713
"28633","ENSRNOG00000006049","Rfx1",531,217,252,423,188,533,281,490,392
"28634","ENSRNOG00000011782","Got2",2379,1213,1193,2656,1285,2476,2402,4495,4035
"28635","ENSRNOG00000067129",NA,0,0,0,0,0,0,0,0,0
"28636","ENSRNOG00000043286","Cpne2",307,171,224,280,128,274,274,504,386
"28637","ENSRNOG00000025764","Mt1",326,410,294,1209,815,778,1605,1143,1810
"28638","ENSRNOG00000043098","Mt2A",646,867,791,2447,1755,1326,5109,2527,4609
"28639","ENSRNOG00000018958","Mt3",0,1,0,0,0,0,0,0,0
"28640","ENSRNOG00000019004","Mt4",0,0,0,0,0,0,0,0,0
